"Saison" "Spieltag" "Heimteam" "Auswartsteam" "Tore_heim" "Tore_aus" "Chancen_heim" "Chancen_aus"
"150" 2020 17 24 44 0 2 0 0
"151" 2020 17 27 49 0 3 0 0
"152" 2020 17 7 8 2 1 0 0
"153" 2020 17 9 47 1 0 0 0
"154" 2020 18 49 2 3 0 0 0
"155" 2020 18 20 16 0 4 0 0
"156" 2020 18 27 47 1 4 0 0
"157" 2020 18 6 15 1 5 0 0
"158" 2020 18 50 84 2 1 0 0
"159" 2020 18 24 54 3 2 0 0
"160" 2020 18 33 42 2 1 0 0
"161" 2020 18 7 44 0 1 0 0
"162" 2020 18 9 8 4 2 0 0
"163" 2020 19 44 33 3 0 0 0
"164" 2020 19 2 6 3 1 0 0
"165" 2020 19 54 7 1 0 0 0
"166" 2020 19 47 20 1 1 0 0
"167" 2020 19 84 9 1 1 0 0
"168" 2020 19 15 27 3 1 0 0
"169" 2020 19 8 50 3 1 0 0
"170" 2020 19 16 49 4 1 0 0
"171" 2020 19 42 24 2 0 0 0
"172" 2020 20 6 47 0 2 5 1
"173" 2020 20 49 15 1 3 0 0
"174" 2020 20 9 2 1 2 0 0
"175" 2020 20 50 44 0 2 0 0
"176" 2020 20 24 84 1 0 0 0
"177" 2020 20 20 54 0 3 0 0
"178" 2020 20 33 8 2 1 0 0
"179" 2020 20 7 42 5 2 0 0
"180" 2020 20 27 16 0 1 0 0
"181" 2020 21 16 6 3 3 8 3
"182" 2020 21 44 9 0 0 5 4
"183" 2020 21 15 2 2 0 7 1
"184" 2020 21 84 20 0 0 3 1
"185" 2020 21 42 27 1 1 3 1
"186" 2020 21 47 33 0 0 3 2
"187" 2020 21 7 24 2 2 2 3
"188" 2020 21 8 49 2 2 5 6
"189" 2020 21 54 50 2 1 3 2
"190" 2020 22 49 47 4 0 6 1
"191" 2020 22 27 54 0 3 5 5
"192" 2020 22 50 7 1 1 3 4
"193" 2020 22 20 8 0 4 0 6
"194" 2020 22 2 42 0 1 0 1
"195" 2020 22 15 16 2 1 5 8
"196" 2020 22 33 84 0 1 1 4
"197" 2020 22 9 24 1 2 3 6
"198" 2020 22 6 44 0 3 1 5
"199" 2020 23 7 33 1 2 5 3
"200" 2020 23 24 50 0 1 5 2
"201" 2020 23 84 49 1 1 2 2
"202" 2020 23 54 9 3 2 0 0
